ID;Precio;Barrio;Ciudad;Mapa ubicacion;Latitud;Longitud;Ambientes;Metros²;Tipo_propiedad;Amoblado;Antigüedad;Baños;Cochera;Mascotas_permitidas;Expensas_incluidas;Fecha_publicacion;Fecha_relevamiento;Fuentes;Id_publicacion
128; $580,00;Punta Popper;rio grande;Punta Popper;null;null;2;45;Departamento;No;1;No;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat168
129; $790,00;Centro;rio grande;Av. San Martín 1100;null;null;3;64;Departamento;Sí;1;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat169
130;1.180.000;Chacra IV;rio grande;Chacra IV;null;null;4;110;Casa;No;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat170
131;1.260.000;Barrancas;rio grande;Barrancas;null;null;5;155;Casa;Sí;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat171
132; $520,00;Chacra XIII;rio grande;Chacra XIII;null;null;2;42;Departamento;No;1;No;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat172
133; $870,00;Mutual;rio grande;Mutual;null;null;3;82;Casa;No;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat173
134; $760,00;Centro;rio grande;Perito Moreno 900;null;null;3;62;Departamento;No;1;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat174
135; $940,00;Vapor Amadeo;rio grande;Vapor Amadeo;null;null;4;90;Casa;No;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat175
136; $690,00;Austral;rio grande;Austral;null;null;2;50;Departamento;No;1;No;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat176
137;1.380.000;Chacra II;rio grande;Chacra II;null;null;5;125;Casa;Sí;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat177
138; $450,00;Chacra XI;Río Grande;Chacra XI;null;null;2;25;Departamento;No;1;No;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat148
139; $370,00;Chacra IX;Río Grande;Chacra IX;null;null;1;30;Departamento;No;1;No;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat149
140; $690,00;Centro;Río Grande;Plaza Almirante Brown;null;null;2;50;Departamento;No;1;No;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat150
141; $840,00;Centro;Río Grande;Fagnano 800;-53,788096;-67,700189;3;60;Departamento;No;1;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat151
142; $330,00;Punta Popper;Río Grande;Punta Popper;null;null;2;40;Departamento;No;1;No;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat152
143; $600,00;Mutual;Río Grande;Barrio Mutual;null;null;3;40;Oficina;No;1;No;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat153
144; $820,00;Chacra IV;Río Grande;Barrio Chacra IV;null;null;4;87;Casa;No;1;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat154
145;1.180.000;Centro;Río Grande;Zona Centro;null;null;4;130;Casa;No;1;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat155
146;1.200.000;Chacra II;Río Grande;Barrio La Flor;null;null;4;130;Casa;No;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat156
147;1.100.000;Chacra IV;Río Grande;Barrio Chacra IV;null;null;4;90;Casa;No;1;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat157
148;1.350.000;Chacra II;Río Grande;Chacra II;null;null;5;120;Casa;No;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat158
149;2.000.000;Mutual;Río Grande;Barrio Mutual;null;null;5;200;Casa;Sí;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat159
150;2.400.000;Barrancas;Río Grande;Barrio Barrancas;null;null;7;190;Casa;Sí;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat160
151;1.500.000;Profesionales;Río Grande;Barrio Profesionales;null;null;5;140;Departamento;Sí;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat161
152;1.500.000;Centro;Río Grande;Zona Centro;null;null;4;200;Casa;Sí;3;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat162
153; $620,00;Malvinas Argentinas;Río Grande;Chacra XIII;null;null;3;55;Departamento;No;1;No;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat163
154; $670,00;Centro;Río Grande;Belgrano 650;null;null;2;48;Departamento;No;1;No;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat164
155; $740,00;Centro;Río Grande;Rosales 430;null;null;3;58;Departamento;No;1;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat165
156; $920,00;Chacra II;Río Grande;Chacra II;null;null;4;95;Casa;No;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat166
157;1.050.000;Buena Vista;Río Grande;Buena Vista;null;null;4;118;Casa;No;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat167
158; $580,00;Punta Popper;Río Grande;Punta Popper;null;null;2;45;Departamento;No;1;No;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat168
159; $790,00;Centro;Río Grande;Av. San Martín 1100;null;null;3;64;Departamento;Sí;1;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat169
160;1.180.000;Chacra IV;Río Grande;Chacra IV;null;null;4;110;Casa;No;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat170
161;1.260.000;Barrancas;Río Grande;Barrancas;null;null;5;155;Casa;Sí;2;Sí;No;NaN;NaN;02-06-2026;03/06/2026;Inmobiliaria Latitud;lat171
